Years,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Percent of adults with depression (%),0.18,0.18,0.19,0.19,0.19,0.17,0.21,0.20,0.20,0.20
    By Race/Ethnicity,,,,,,,,,,
"        American Indian or Alaskan Native, non-Hispanic (%)",,,,,0.27,0.28,0.28,0.26,0.26,0.27
"        Asian, non-Hispanic (%)",,,,,0.08,0.09,0.11,0.10,0.08,0.10
"        Black, non-Hispanic (%)",0.15,0.16,0.16,0.17,0.16,0.16,0.17,0.18,0.16,0.17
        Hispanic (%),0.17,0.18,0.19,0.17,0.18,0.16,0.19,0.18,0.17,0.18
"        Multiracial, non-Hispanic (%)",0.28,0.28,0.31,0.29,0.28,0.28,0.29,0.30,0.30,0.31
"        Native Hawaiian or other Pacific Islander, non-Hispanic (%)",,,,,,,0.10,0.11,0.13,0.10
"        Other, non-Hispanic (%)",0.17,0.16,0.16,0.16,0.18,0.22,0.19,0.21,0.21,0.23
"        White, non-Hispanic (%)",0.19,0.19,0.20,0.20,0.20,0.19,0.22,0.20,0.21,0.21
