YearStart,LocationAbbr,Datasource,Class,Data_Value,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Age(years),Education,Gender,Income
2018,MD,Behavioral Risk Factor Surveillance System,Physical Activity,32.5,28,37.5,671,,,,
2018,AL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.9,28,36.1,719,35 - 44,,,
2018,TX,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.2,24.7,29.8,5451,,,Female,
2018,IA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38,35.9,40.1,2654,,High school graduate,,
2018,TX,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.5,30.8,36.4,4698,,,Male,
2018,MA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.1,33.7,40.6,1133,,High school graduate,,
2018,MD,Behavioral Risk Factor Surveillance System,Physical Activity,24.6,15.3,37.1,120,,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Physical Activity,30.8,27.1,34.8,1601,,,Female,
2018,SD,Behavioral Risk Factor Surveillance System,Physical Activity,24,22.2,25.9,7088,,,,
2018,MI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.5,23.3,32.1,702,,,,"Less than $15,000"
2018,PR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,VT,Behavioral Risk Factor Surveillance System,Physical Activity,31.7,16.8,51.6,60,,,,
2018,AZ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.9,29.5,38.5,1140,,,,Data not reported
2018,OH,Behavioral Risk Factor Surveillance System,Physical Activity,28.1,25.9,30.3,2918,55 - 64,,,
2018,VT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.8,24.3,35.9,556,,,,"$25,000 - $34,999"
2018,PA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39,36,42.2,1704,65 or older,,,
2018,NV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,41.3,32.2,51.1,196,,,,"Less than $15,000"
2018,SC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.8,34.4,39.3,2974,,High school graduate,,
2018,VA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.9,34.6,37.3,9517,,,,
2018,PR,Behavioral Risk Factor Surveillance System,Physical Activity,25.9,19.2,33.8,175,,,,"$50,000 - $74,999"
2018,SC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35,31.5,38.7,1372,,,,"$50,000 - $74,999"
2018,NM,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,MT,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,VI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.4,29.5,33.3,3926,,,,
2018,NM,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.8,17.6,48.2,75,,,,
2018,GA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.9,32.3,39.6,1021,,,,"$50,000 - $74,999"
2018,VA,Behavioral Risk Factor Surveillance System,Physical Activity,30.8,26.4,35.6,820,,,,"$25,000 - $34,999"
2018,CA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.4,36.4,40.5,3852,,,,"$75,000 or greater"
2018,LA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.8,27.9,38,524,,,,"$35,000 - $49,999"
2018,NM,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.1,34.6,43.9,721,,Less than high school,,
2018,WI,Behavioral Risk Factor Surveillance System,Physical Activity,21.7,17.6,26.5,521,25 - 34,,,
2018,MD,Behavioral Risk Factor Surveillance System,Physical Activity,18.7,16.3,21.3,1686,35 - 44,,,
2018,NV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,14.8,6.7,29.8,78,,,,
2018,OR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.4,25.7,54.9,59,,,,
2018,OK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34,30.7,37.4,1145,,,,"$75,000 or greater"
2018,ND,Behavioral Risk Factor Surveillance System,Physical Activity,28.7,15.1,47.8,54,,,,
2018,GU,Behavioral Risk Factor Surveillance System,Physical Activity,33.4,26.7,40.9,355,65 or older,,,
2018,GA,Behavioral Risk Factor Surveillance System,Physical Activity,27.9,24.1,32.1,780,,,,"$25,000 - $34,999"
2018,TN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.7,32.9,40.5,1149,,,,"$75,000 or greater"
2018,WA,Behavioral Risk Factor Surveillance System,Physical Activity,16.3,15.4,17.3,10529,,,,
2018,AZ,Behavioral Risk Factor Surveillance System,Physical Activity,26,23.2,29.1,2004,,High school graduate,,
2018,WV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.3,32.8,37.8,2077,,,Male,
2018,DC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.4,23.6,42.6,222,,,,"$25,000 - $34,999"
2018,SD,Behavioral Risk Factor Surveillance System,Physical Activity,34.6,26.6,43.5,416,,Less than high school,,
2018,SC,Behavioral Risk Factor Surveillance System,Physical Activity,23,19.6,26.8,792,25 - 34,,,
2018,MT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,41.5,38.9,44.1,2333,,,Male,
2018,MT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,41.1,38,44.2,1826,65 or older,,,
2018,VI,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,18 - 24,,,
2018,AK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.5,27,32.2,2600,,,,
2018,OK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38,31.8,44.7,323,,,,
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,DC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,MO,Behavioral Risk Factor Surveillance System,Physical Activity,22.8,20.3,25.5,1723,,Some college or technical school,,
2018,NC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,44.5,40.1,49.1,730,45 - 54,,,
2018,WY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.9,35.1,44.8,482,45 - 54,,,
2018,NE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.1,33.9,36.4,12136,,,,
2018,AL,Behavioral Risk Factor Surveillance System,Physical Activity,35,32,38.2,1695,,,,
2018,NE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.6,28.1,35.4,1390,,,,"$25,000 - $34,999"
2018,PR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,43.9,40.6,47.2,1266,65 or older,,,
2018,ME,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.2,33.5,39,2954,,High school graduate,,
2018,ME,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34,22.5,47.8,193,,,,
2018,WY,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,KS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,28.1,24.2,32.3,606,18 - 24,,,
